Part,Value,Device,Package,Description,MFR. #,MPN,OC_FARNELL,OC_NEWARK,POPULARITY,SPICEPREFIX
A,PHASE_HOLE,PHASE_HOLE,HOLE,,,,,,,
A_H,,N-MOSFET-SO8S,SO-08,N-Channel MOSFET,SQ4050EY-T1_GE3,,,,,
A_L,,N-MOSFET-SO8S,SO-08,N-Channel MOSFET,SQ4050EY-T1_GE3,,,,,
B,PHASE_HOLE,PHASE_HOLE,HOLE,,,,,,,
B_H,,N-MOSFET-SO8S,SO-08,N-Channel MOSFET,SQ4050EY-T1_GE3,,,,,
B_L,,N-MOSFET-SO8S,SO-08,N-Channel MOSFET,SQ4050EY-T1_GE3,,,,,
C,PHASE_HOLE,PHASE_HOLE,HOLE,,,,,,,
C1,4.7 u,C-USC0805,C0805,"CAPACITOR, American symbol",LMF212B7475KGHT,,,,63,C
C2,0.1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMK212B7104MGHT,,,,63,C
C3,0.1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMK212B7104MGHT,,,,63,C
C4,0.015 u,C-USC0805,C0805,"CAPACITOR, American symbol",C0805S153K5RAC7800,,,,63,C
C5,120 p,C-USC0805,C0805,"CAPACITOR, American symbol",C0805C121M5HACTU,,,,63,C
C6,6800 p,C-USC0805,C0805,"CAPACITOR, American symbol",C0805C682J5GEC7210,,,,63,C
C7,1.0 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMF212B7105KGHT,,,,63,C
C8,1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMF212B7105KGHT,,,,63,C
C9,4.7 u,C-USC0805,C0805,"CAPACITOR, American symbol",LMF212B7475KGHT,,,,63,C
C10,0.1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMK212B7104MGHT,,,,63,C
C11,1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMF212B7105KGHT,,,,63,C
C12,1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMF212B7105KGHT,,,,63,C
C13,0.022 u,C-USC0805,C0805,"CAPACITOR, American symbol",HMK212B7223KGHT,,,,63,C
C14,1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMF212B7105KGHT,,,,63,C
C15,47 u,C-US025-024X044,C025-024X044,"CAPACITOR, American symbol",EEU-FS2A470,,,,17,C
C16,0.1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMK212B7104MGHT,,,,63,C
C17,0.1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMK212B7104MGHT,,,,63,C
C18,0.1 u,C-USC0805,C0805,"CAPACITOR, American symbol",UMK212B7104MGHT,,,,63,C
C19,10 u,C-USC1206,C1206,"CAPACITOR, American symbol",TMK316BJ106MLHT,,,,24,C
C20,10 u,C-USC1206,C1206,"CAPACITOR, American symbol",TMK316BJ106MLHT,,,,24,C
C21,10 u,C-USC1206,C1206,"CAPACITOR, American symbol",TMK316BJ106MLHT,,,,24,C
C22,220 u,C-US050-045X075,C050-045X075,"CAPACITOR, American symbol",A750KS227M1EEAE015,,,,2,C
C23,220 u,C-US050-045X075,C050-045X075,"CAPACITOR, American symbol",A750KS227M1EEAE015,,,,2,C
C24,220 u,C-US050-045X075,C050-045X075,"CAPACITOR, American symbol",A750KS227M1EEAE015,,,,2,C
C_H,,N-MOSFET-SO8S,SO-08,N-Channel MOSFET,SQ4050EY-T1_GE3,,,,,
C_L,,N-MOSFET-SO8S,SO-08,N-Channel MOSFET,SQ4050EY-T1_GE3,,,,,
DRV8302,DRV8302HTSSOP_56,DRV8302HTSSOP_56,HTSSOP56DFD,3 phase gate driving/do-all chip,DRV8302DCA,,,,,
L1,22 u,L-USL3225M,L3225M,"INDUCTOR, American symbol",7447649122,,,,11,L
LED1,G,LEDSML0805,SML0805,LED,755-SML-H12P8TT86C,,,,17,
LEFT_HEADERS,F_PINH 2X19,PINHD-2X19,2X19,PIN HEADER,200-CES11901TS,,,,0,
R1,1 M,R-US_R0805,R0805,"RESISTOR, American symbol",71-RCC08051M00FKEA,,,,85,R
R2,16.2 k,R-US_R0805,R0805,"RESISTOR, American symbol",660-RK73H2ATTDD1622F,,,,85,R
R3,10 k,R-US_R0805,R0805,"RESISTOR, American symbol",CRCW080510K0JNEAC,,,,85,R
R4,31.6 k,R-US_R0805,R0805,"RESISTOR, American symbol",CR0805-FX-3162ELF,,,,85,R
R5,10 k,R-US_R0805,R0805,"RESISTOR, American symbol",CRCW080510K0JNEAC,,,,85,R
R6,1,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE131RL,,,,85,R
R7,10,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE1310RL,,,,85,R
R8,10,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE1310RL,,,,85,R
R9,10,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE1310RL,,,,85,R
R10,10,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE1310RL,,,,85,R
R11,10,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE1310RL,,,,85,R
R12,10,R-US_R0805,R0805,"RESISTOR, American symbol",RT0805FRE1310RL,,,,85,R
R13,70,R-US_R0805,R0805,"RESISTOR, American symbol",RN732ATTD70R6D25,,,,85,R
RIGHT_HEADERS,F_PINH 2X19,PINHD-2X19,2X19,PIN HEADER,200-CES11901TS,,,,0,
SCH_DIODE,,LEDCHIP-LED0805,CHIP-LED0805,LED,SD0805S020S0R5,,,,68,
SHUNT_1,10 m,R-US_R2512,R2512,"RESISTOR, American symbol",PE2512FKE7W0R01Z,,,,0,R
SHUNT_2,10 m,R-US_R2512,R2512,"RESISTOR, American symbol",PE2512FKE7W0R01Z,,,,0,R
X1,,W237-102,W237-102,WAGO SCREW CLAMP,710-691214110002,237-102,unknown,70K9898,32,
